id,slug,title,year,cns_rating,mpaa_rating,synopsis,full_review,letter,source_file,is_redirect
11,abbottandcostellolostinalaska,Abbott and Costello Lost in Alaska,,,,,,a,a/abbottandcostellolostinalaska.shtml,0
12,abbottandcostellomeetcaptainkidd,Abbott and Costello Meet Captain Kidd,,,,,,a,a/abbottandcostellomeetcaptainkidd.shtml,0
13,abbottandcostellomeetdrjekyllandmrhyde,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,,,,,,a,a/abbottandcostellomeetdrjekyllandmrhyde.shtml,0
14,abbottandcostellomeetfrankenstein,Abbott and Costello Meet Frankenstein,,,,,,a,a/abbottandcostellomeetfrankenstein.shtml,0
15,abbottandcostellomeettheghosts,Abbott and Costello Meet the Ghosts,,,,,,a,a/abbottandcostellomeettheghosts.shtml,0
16,abbottandcostellomeettheinvisibleman,Abbott and Costello eet the Invisible Man,1951,A-II,,"Abbott and Costello Meet the Invisible Man -- This time around the boys play private detectives hired by a prizefighter (Arthur Franz) who's used an invisibility serum to escape the police after being framed for murder by a gangster (Sheldon Leonard). Directed by Charles Lamont, the formula comedy's highlight is a boxing match in which the inept Costello gets some help in the ring from his unseen client. Comic violence",,a,a/abbottandcostellomeettheinvisibleman.shtml,0
17,abbottandcostellomeetthekiller,Abbott and Costello eet the Killer,1949,A-I,,"Abbott and Costello Meet the Killer -- Comic murder mystery with the boys finding, then trying to lose a couple of corpses in a hotel whose guests include the usual likely suspects, including a sinister swami (Boris Karloff). Directed by Charles Barton, it's mildly amusing fare for the comedy team's fans. Comic violence",,a,a/abbottandcostellomeetthekiller.shtml,0
18,abbottandcostellomeetthemummy,Abbott and Costello eet the Mummy,1955,A-I,,Abbott and Costello Meet the Mummy -- Tired formula comedy directed by Charles Lamont has the boys helping an adventuress (Marie Windsor) search for a lost Egyptian tomb whose treasures are guarded by an unfriendly mummy. Comic menace,,a,a/abbottandcostellomeetthemummy.shtml,0
19,abby,Abby,1975,O,R,"Low-budget, black version of ""The Exorcist"" in which God and the Devil clash, this time in the form of a young woman (Carol Speed) possessed by a demon unleashed by her archaeologist father-in-law (William Marshall) who, fortunately, also happens to be a clergyman. Directed by William Girdler, it has all the defects and excesses of the original plus a few of its own. Exploitative sex and violence",,a,a/abby.shtml,0
20,abelincolninillinois,Abe Lincoln in Illinois,1940,A-I,,"Raymond Massey stars as the future president with Ruth Gordon playing Mary Todd in this well-acted drama based on Robert Sherwood's Pulitzer Prize-winning play. Directed by John Cromwell, the movie's emphasis is upon the development of Lincoln's character as a backwoodsman-turned-lawyer and his compassionate confrontation with adversity",,a,a/abelincolninillinois.shtml,0
21,abilenetown,Abilene Town,1946,A-II,,"Sturdy Western with Randolph Scott as marshal of 1870 Abilene trying to stop a war between cattlemen and sodbusters, while the fearful townspeople stand on the sidelines. Director Edwin L. Marin paces the action with some comic relief (Edgar Buchanan's reluctant lawman) as well as Scott's romantic interest in a shopkeeper's daughter (Rhonda Fleming) and a dancehall beauty (Ann Dvorak). Frontier violence and menacing situations",,a,a/abilenetown.shtml,0
